Community,Disease 1,Disease 2,Similarity
0,heart contusion,kaposi sarcoma,0.9999999999999998
0,depression,post-traumatic stress disorder (ptsd),0.9534625892455926
0,personality disorder,schizophrenia,0.9090909090909093
0,psychotic disorder,schizophrenia,0.9090909090909093
0,drug abuse (opioids),post-traumatic stress disorder (ptsd),0.8999999999999999
1,actinic keratosis,skin disorder,0.8581163303210333
1,seborrheic keratosis,skin polyp,0.9090909090909093
1,skin pigmentation disorder,skin polyp,0.9090909090909093
1,skin disorder,skin polyp,0.9534625892455926
1,seborrheic keratosis,skin pigmentation disorder,0.9090909090909093
2,infectious gastroenteritis,noninfectious gastroenteritis,0.916666666666667
2,kidney stone,pyelonephritis,0.9090909090909093
2,liver cancer,ovarian cancer,0.8944271909999159
2,cholecystitis,gallstone,0.8703882797784892
2,bladder disorder,cystitis,0.8660254037844388
3,acute bronchospasm,asthma,0.8181818181818183
3,gum disease,tooth disorder,0.8581163303210333
3,acute otitis media,otitis media,0.8581163303210333
3,acute bronchospasm,pneumonia,0.8703882797784892
3,acute bronchitis,chronic obstructive pulmonary disease (copd),0.8703882797784892
4,dislocation of the knee,dislocation of the patella,1.0000000000000002
4,open wound of the finger,open wound of the hand,1.0
4,degenerative disc disease,spinal stenosis,0.8703882797784892
4,degenerative disc disease,spondylosis,0.8703882797784892
4,spinal stenosis,spondylosis,0.8333333333333336
5,endocarditis,paroxysmal supraventricular tachycardia,0.816496580927726
5,diabetes insipidus,otosclerosis,0.816496580927726
5,sick sinus syndrome,sinus bradycardia,0.8528028654224417
5,atrial fibrillation,endocarditis,0.8660254037844387
5,adrenal cancer,otosclerosis,0.816496580927726
6,cataract,retinal detachment,0.8944271909999159
6,corneal disorder,dry eye of unknown cause,0.9534625892455926
6,diabetic retinopathy,dry eye of unknown cause,0.9045340337332909
6,diabetic retinopathy,macular degeneration,0.9045340337332909
6,corneal disorder,vitreous degeneration,0.8944271909999159
